,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,class
68,0.407,https://api.spotify.com/v1/audio-analysis/3gsOAmZ9E4XlyQvzIKJT8d,0.907,195960,0.61,3gsOAmZ9E4XlyQvzIKJT8d,3.06e-06,1,0.129,-6.716,1,0.0886,112.011,4,https://api.spotify.com/v1/tracks/3gsOAmZ9E4XlyQvzIKJT8d,audio_features,spotify:track:3gsOAmZ9E4XlyQvzIKJT8d,0.963,0
69,0.0868,https://api.spotify.com/v1/audio-analysis/42tFTth2jcF7iSo0RBjfJF,0.839,189050,0.902,42tFTth2jcF7iSo0RBjfJF,0.00257,1,0.272,-3.612,0,0.0536,114.953,4,https://api.spotify.com/v1/tracks/42tFTth2jcF7iSo0RBjfJF,audio_features,spotify:track:42tFTth2jcF7iSo0RBjfJF,0.639,0
70,0.0319,https://api.spotify.com/v1/audio-analysis/5EzitieoPnjyKHAq0gfRMa,0.749,190423,0.85,5EzitieoPnjyKHAq0gfRMa,4.81e-05,0,0.0678,-4.346,1,0.0468,145.983,4,https://api.spotify.com/v1/tracks/5EzitieoPnjyKHAq0gfRMa,audio_features,spotify:track:5EzitieoPnjyKHAq0gfRMa,0.672,0
71,0.0253,https://api.spotify.com/v1/audio-analysis/18W92Zm1KjLCbUIszOhpkD,0.661,197939,0.725,18W92Zm1KjLCbUIszOhpkD,0.0,6,0.123,-4.859,1,0.0563,119.927,4,https://api.spotify.com/v1/tracks/18W92Zm1KjLCbUIszOhpkD,audio_features,spotify:track:18W92Zm1KjLCbUIszOhpkD,0.605,0
72,0.014,https://api.spotify.com/v1/audio-analysis/6tHWl8ows5JOZq9Yfaqn3M,0.716,133995,0.805,6tHWl8ows5JOZq9Yfaqn3M,3.1e-06,4,0.291,-3.839,1,0.0856,142.886,4,https://api.spotify.com/v1/tracks/6tHWl8ows5JOZq9Yfaqn3M,audio_features,spotify:track:6tHWl8ows5JOZq9Yfaqn3M,0.719,0
73,0.0312,https://api.spotify.com/v1/audio-analysis/7rKCmo4SZhKubupJdsuM5S,0.573,331125,0.688,7rKCmo4SZhKubupJdsuM5S,0.0,6,0.0962,-7.303,1,0.0372,110.739,4,https://api.spotify.com/v1/tracks/7rKCmo4SZhKubupJdsuM5S,audio_features,spotify:track:7rKCmo4SZhKubupJdsuM5S,0.189,0
74,0.0928,https://api.spotify.com/v1/audio-analysis/7uvDJFly0TCWWsK48NI1fx,0.755,226120,0.649,7uvDJFly0TCWWsK48NI1fx,0.000177,5,0.0939,-7.573,0,0.0303,104.022,4,https://api.spotify.com/v1/tracks/7uvDJFly0TCWWsK48NI1fx,audio_features,spotify:track:7uvDJFly0TCWWsK48NI1fx,0.734,0
75,0.125,https://api.spotify.com/v1/audio-analysis/0WWUC8RjWvuBTkiiFDxyQf,0.534,246933,0.784,0WWUC8RjWvuBTkiiFDxyQf,8.92e-06,0,0.0753,-6.542,1,0.0476,118.011,4,https://api.spotify.com/v1/tracks/0WWUC8RjWvuBTkiiFDxyQf,audio_features,spotify:track:0WWUC8RjWvuBTkiiFDxyQf,0.251,0
76,0.00216,https://api.spotify.com/v1/audio-analysis/4hPxXTBcUoEQjedrVPXelB,0.615,194147,0.592,4hPxXTBcUoEQjedrVPXelB,0.0,7,0.0809,-7.676,1,0.065,86.994,4,https://api.spotify.com/v1/tracks/4hPxXTBcUoEQjedrVPXelB,audio_features,spotify:track:4hPxXTBcUoEQjedrVPXelB,0.196,0
77,0.00983,https://api.spotify.com/v1/audio-analysis/0ZoNpycWGCmmXQ5JJxzSlH,0.345,247617,0.775,0ZoNpycWGCmmXQ5JJxzSlH,0.000421,9,0.242,-7.879,0,0.0621,150.02,4,https://api.spotify.com/v1/tracks/0ZoNpycWGCmmXQ5JJxzSlH,audio_features,spotify:track:0ZoNpycWGCmmXQ5JJxzSlH,0.269,0
78,0.176,https://api.spotify.com/v1/audio-analysis/0qFX9pVJQB4lBMxRoFXqGr,0.784,236944,0.58,0qFX9pVJQB4lBMxRoFXqGr,0.0,0,0.0979,-6.656,1,0.167,76.484,4,https://api.spotify.com/v1/tracks/0qFX9pVJQB4lBMxRoFXqGr,audio_features,spotify:track:0qFX9pVJQB4lBMxRoFXqGr,0.338,0
79,0.0497,https://api.spotify.com/v1/audio-analysis/4VmcVEuTlYnWcc6QksaLyw,0.897,176842,0.632,4VmcVEuTlYnWcc6QksaLyw,7.96e-06,4,0.111,-6.097,0,0.296,151.99,4,https://api.spotify.com/v1/tracks/4VmcVEuTlYnWcc6QksaLyw,audio_features,spotify:track:4VmcVEuTlYnWcc6QksaLyw,0.499,0
80,0.0679,https://api.spotify.com/v1/audio-analysis/3ZYwSDF9knZI0RVlKR4PHC,0.901,183809,0.529,3ZYwSDF9knZI0RVlKR4PHC,0.0,8,0.536,-7.94,1,0.413,144.941,4,https://api.spotify.com/v1/tracks/3ZYwSDF9knZI0RVlKR4PHC,audio_features,spotify:track:3ZYwSDF9knZI0RVlKR4PHC,0.343,0
81,0.00104,https://api.spotify.com/v1/audio-analysis/4qKcDkK6siZ7Jp1Jb4m0aL,0.922,181263,0.581,4qKcDkK6siZ7Jp1Jb4m0aL,5.86e-05,10,0.105,-7.495,1,0.27,140.022,4,https://api.spotify.com/v1/tracks/4qKcDkK6siZ7Jp1Jb4m0aL,audio_features,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,0.595,0
82,0.0149,https://api.spotify.com/v1/audio-analysis/2yUbCEiaolfSMluDo9RMmG,0.712,332301,0.829,2yUbCEiaolfSMluDo9RMmG,0.0,1,0.122,-4.707,0,0.141,173.953,4,https://api.spotify.com/v1/tracks/2yUbCEiaolfSMluDo9RMmG,audio_features,spotify:track:2yUbCEiaolfSMluDo9RMmG,0.593,0
83,0.0301,https://api.spotify.com/v1/audio-analysis/0TFVOjSvPTjFHkiZZekK5k,0.964,218261,0.555,0TFVOjSvPTjFHkiZZekK5k,0.000567,5,0.128,-6.245,0,0.0499,130.017,4,https://api.spotify.com/v1/tracks/0TFVOjSvPTjFHkiZZekK5k,audio_features,spotify:track:0TFVOjSvPTjFHkiZZekK5k,0.338,0
84,0.121,https://api.spotify.com/v1/audio-analysis/4lTiuD1DwBKo4L7wqMkD7C,0.733,144149,0.678,4lTiuD1DwBKo4L7wqMkD7C,0.0,6,0.345,-7.771,1,0.439,175.984,4,https://api.spotify.com/v1/tracks/4lTiuD1DwBKo4L7wqMkD7C,audio_features,spotify:track:4lTiuD1DwBKo4L7wqMkD7C,0.841,0
85,0.196,https://api.spotify.com/v1/audio-analysis/2xCzUIQwX5Y3wEFJnHoc3J,0.88,170000,0.61,2xCzUIQwX5Y3wEFJnHoc3J,0.0,9,0.105,-5.257,1,0.402,135.993,4,https://api.spotify.com/v1/tracks/2xCzUIQwX5Y3wEFJnHoc3J,audio_features,spotify:track:2xCzUIQwX5Y3wEFJnHoc3J,0.383,0
86,0.0455,https://api.spotify.com/v1/audio-analysis/6tarvNiKnEjYMj1VZhlDqR,0.667,153475,0.723,6tarvNiKnEjYMj1VZhlDqR,0.000179,5,0.213,-4.31,0,0.27,148.057,4,https://api.spotify.com/v1/tracks/6tarvNiKnEjYMj1VZhlDqR,audio_features,spotify:track:6tarvNiKnEjYMj1VZhlDqR,0.251,0
87,0.128,https://api.spotify.com/v1/audio-analysis/5NkfVQS8BkceRgoSQwcW6H,0.871,273087,0.552,5NkfVQS8BkceRgoSQwcW6H,0.0,4,0.272,-4.953,0,0.0509,141.973,4,https://api.spotify.com/v1/tracks/5NkfVQS8BkceRgoSQwcW6H,audio_features,spotify:track:5NkfVQS8BkceRgoSQwcW6H,0.27,0
88,0.139,https://api.spotify.com/v1/audio-analysis/5Qx9hngUBr30JFrNua7yp4,0.851,129105,0.666,5Qx9hngUBr30JFrNua7yp4,0.0,11,0.105,-5.334,0,0.0694,134.068,4,https://api.spotify.com/v1/tracks/5Qx9hngUBr30JFrNua7yp4,audio_features,spotify:track:5Qx9hngUBr30JFrNua7yp4,0.0585,0
89,0.738,https://api.spotify.com/v1/audio-analysis/365wwIjijQdlRJEjUWTidq,0.781,234667,0.81,365wwIjijQdlRJEjUWTidq,0.0,10,0.144,-4.301,0,0.356,173.949,4,https://api.spotify.com/v1/tracks/365wwIjijQdlRJEjUWTidq,audio_features,spotify:track:365wwIjijQdlRJEjUWTidq,0.908,0
90,0.0326,https://api.spotify.com/v1/audio-analysis/1pWeQDyW5ieMmfjr8HP5TU,0.799,185200,0.325,1pWeQDyW5ieMmfjr8HP5TU,3.53e-05,2,0.114,-9.91,1,0.506,157.966,4,https://api.spotify.com/v1/tracks/1pWeQDyW5ieMmfjr8HP5TU,audio_features,spotify:track:1pWeQDyW5ieMmfjr8HP5TU,0.233,0
91,0.991,https://api.spotify.com/v1/audio-analysis/3FBk3DcCOC5gkhX50rbHbC,0.512,172457,0.121,3FBk3DcCOC5gkhX50rbHbC,0.74,9,0.0726,-19.46,1,0.0338,69.981,4,https://api.spotify.com/v1/tracks/3FBk3DcCOC5gkhX50rbHbC,audio_features,spotify:track:3FBk3DcCOC5gkhX50rbHbC,0.298,0
92,0.994,https://api.spotify.com/v1/audio-analysis/1hYEnW3hjGnnvTuEUlAD6h,0.356,174375,0.0199,1hYEnW3hjGnnvTuEUlAD6h,0.956,6,0.155,-26.752,0,0.0645,79.547,4,https://api.spotify.com/v1/tracks/1hYEnW3hjGnnvTuEUlAD6h,audio_features,spotify:track:1hYEnW3hjGnnvTuEUlAD6h,0.326,0
93,0.994,https://api.spotify.com/v1/audio-analysis/7gpL5CorPuYBthvZkPPFGd,0.161,138798,0.00613,7gpL5CorPuYBthvZkPPFGd,0.846,0,0.0895,-38.027,1,0.039,74.671,1,https://api.spotify.com/v1/tracks/7gpL5CorPuYBthvZkPPFGd,audio_features,spotify:track:7gpL5CorPuYBthvZkPPFGd,0.0363,0
94,0.000728,https://api.spotify.com/v1/audio-analysis/1mB5iZe1OrN9gYZtLOklI6,0.786,230880,0.669,1mB5iZe1OrN9gYZtLOklI6,0.0,1,0.0346,-8.273,0,0.0669,77.177,4,https://api.spotify.com/v1/tracks/1mB5iZe1OrN9gYZtLOklI6,audio_features,spotify:track:1mB5iZe1OrN9gYZtLOklI6,0.832,0
95,0.0744,https://api.spotify.com/v1/audio-analysis/3YbtjYddK11NTDdUpC4nGp,0.68,225395,0.878,3YbtjYddK11NTDdUpC4nGp,0.0,8,0.137,-3.923,0,0.0554,169.987,4,https://api.spotify.com/v1/tracks/3YbtjYddK11NTDdUpC4nGp,audio_features,spotify:track:3YbtjYddK11NTDdUpC4nGp,0.769,0
96,0.0749,https://api.spotify.com/v1/audio-analysis/260F1LrhRMiuXOZIaypMZd,0.728,283427,0.5,260F1LrhRMiuXOZIaypMZd,5.84e-06,4,0.108,-6.214,0,0.0344,138.528,4,https://api.spotify.com/v1/tracks/260F1LrhRMiuXOZIaypMZd,audio_features,spotify:track:260F1LrhRMiuXOZIaypMZd,0.382,0
97,0.0224,https://api.spotify.com/v1/audio-analysis/26IEVYmeFletNA10cOkdBb,0.66,243174,0.679,26IEVYmeFletNA10cOkdBb,0.0,2,0.0945,-6.749,1,0.111,164.11,4,https://api.spotify.com/v1/tracks/26IEVYmeFletNA10cOkdBb,audio_features,spotify:track:26IEVYmeFletNA10cOkdBb,0.595,0
98,0.217,https://api.spotify.com/v1/audio-analysis/2nkuZha8Oe9puQ8ZX1P9ha,0.747,216477,0.657,2nkuZha8Oe9puQ8ZX1P9ha,0.0,7,0.0844,-5.993,1,0.0525,96.286,4,https://api.spotify.com/v1/tracks/2nkuZha8Oe9puQ8ZX1P9ha,audio_features,spotify:track:2nkuZha8Oe9puQ8ZX1P9ha,0.725,0
99,0.242,https://api.spotify.com/v1/audio-analysis/2N60TAtXaCbmi7zqdUoW61,0.677,237961,0.74,2N60TAtXaCbmi7zqdUoW61,0.0146,2,0.105,-6.528,1,0.0243,110.193,4,https://api.spotify.com/v1/tracks/2N60TAtXaCbmi7zqdUoW61,audio_features,spotify:track:2N60TAtXaCbmi7zqdUoW61,0.679,0
